,Date,Average_Iron_Ore_Price,SUBURB,PRICE,BEDROOMS,BATHROOMS,POSTCODE,CITY
1295,2010Q3,139.63333333333333,Herne Hill,840000,4.0,2,6056,Perth
1296,2010Q3,139.63333333333333,Anketell,1037500,4.0,2,6167,Perth
1299,2010Q3,139.63333333333333,North Lake,605000,4.0,2,6163,Perth
1300,2010Q3,139.63333333333333,Viveash,490000,4.0,2,6056,Perth
1303,2010Q3,139.63333333333333,Upper Swan,580000,4.0,2,6069,Perth
1304,2010Q3,139.63333333333333,Kiara,485000,4.0,2,6054,Perth
1308,2010Q4,162.33333333333334,Hillman,350000,4.0,2,6168,Perth
1311,2010Q4,162.33333333333334,Coolbinia,1795000,4.0,2,6050,Perth
1312,2010Q4,162.33333333333334,Sawyers Valley,730000,4.0,2,6074,Perth
1314,2010Q4,162.33333333333334,Champion Lakes,185000,4.0,2,6111,Perth
1318,2010Q4,162.33333333333334,Murdoch,810000,4.0,2,6150,Perth
1320,2010Q4,162.33333333333334,Belhus,1175000,4.0,2,6069,Perth
1324,2010Q4,162.33333333333334,Sawyers Valley,585000,4.0,2,6074,Perth
1326,2010Q4,162.33333333333334,Belhus,655000,4.0,2,6069,Perth
1328,2010Q4,162.33333333333334,Mundijong,456500,4.0,2,6123,Perth
1329,2010Q4,162.33333333333334,Murdoch,750000,4.0,2,6150,Perth
1330,2010Q4,162.33333333333334,Karawara,745000,4.0,2,6152,Perth
1331,2010Q4,162.33333333333334,Menora,1600000,4.0,2,6050,Perth
1332,2010Q4,162.33333333333334,Ashfield,500000,4.0,2,6054,Perth
1338,2010Q4,162.33333333333334,Casuarina,1100000,4.0,2,6167,Perth
1339,2010Q4,162.33333333333334,Mahogany Creek,880000,4.0,2,6072,Perth
1340,2010Q4,162.33333333333334,Gnangara,830000,4.0,2,6077,Perth
1344,2010Q4,162.33333333333334,Belhus,875000,4.0,2,6069,Perth
1345,2010Q4,162.33333333333334,Hovea,967500,4.0,2,6071,Perth
1348,2010Q4,162.33333333333334,Coolbinia,1500000,4.0,2,6050,Perth
1351,2010Q4,162.33333333333334,Ashfield,426000,4.0,2,6054,Perth
1353,2010Q4,162.33333333333334,North Lake,487000,4.0,2,6163,Perth
1367,2010Q4,162.33333333333334,Kiara,433000,4.0,2,6054,Perth
1370,2010Q4,162.33333333333334,Mardella,1000000,4.0,2,6125,Perth
1375,2010Q4,162.33333333333334,Hovea,765000,4.0,2,6071,Perth
1377,2010Q4,162.33333333333334,North Lake,745000,4.0,2,6163,Perth
1378,2011Q1,180.26666666666665,Mariginiup,970000,4.0,2,6078,Perth
1381,2011Q1,180.26666666666665,Ashfield,450000,4.0,2,6054,Perth
1382,2011Q1,180.26666666666665,Murdoch,850000,4.0,2,6150,Perth
1384,2011Q1,180.26666666666665,Herne Hill,920000,4.0,2,6056,Perth
1386,2011Q1,180.26666666666665,Chidlow,500000,4.0,2,6556,Perth
1387,2011Q1,180.26666666666665,Murdoch,375000,4.0,2,6150,Perth
1390,2011Q1,180.26666666666665,Oldbury,1600000,4.0,2,6121,Perth
1391,2011Q1,180.26666666666665,Upper Swan,555000,4.0,2,6069,Perth
1392,2011Q1,180.26666666666665,Waterford,835000,4.0,2,6152,Perth
1393,2011Q1,180.26666666666665,Parkerville,930000,4.0,2,6081,Perth
1399,2011Q1,180.26666666666665,Mariginiup,855000,4.0,2,6078,Perth
1403,2011Q1,180.26666666666665,North Lake,740000,4.0,2,6163,Perth
1404,2011Q1,180.26666666666665,Jarrahdale,450000,4.0,2,6124,Perth
1408,2011Q1,180.26666666666665,Darling Downs,845000,4.0,2,6122,Perth
